
############### Grid Search ###############
---------------- RFC ----------------
Grid Search CV Results:
     mean_fit_time  std_fit_time  mean_score_time  std_score_time  \
102  {'class_weight': None, 'criterion': 'gini', 'm...              0.779221   
103  {'class_weight': None, 'criterion': 'gini', 'm...              0.805195   
104  {'class_weight': None, 'criterion': 'gini', 'm...              0.792208   
105  {'class_weight': None, 'criterion': 'gini', 'm...              0.792208   
106  {'class_weight': None, 'criterion': 'gini', 'm...              0.792208   
107  {'class_weight': None, 'criterion': 'gini', 'm...              0.792208   
108  {'class_weight': None, 'criterion': 'gini', 'm...              0.753247   
109  {'class_weight': None, 'criterion': 'gini', 'm...              0.753247   
110  {'class_weight': None, 'criterion': 'gini', 'm...              0.753247   
111  {'class_weight': None, 'criterion': 'gini', 'm...              0.779221   
112  {'class_weight': None, 'criterion': 'gini', 'm...              0.792208   
113  {'class_weight': None, 'criterion': 'gini', 'm...              0.805195   
114  {'class_weight': None, 'criterion': 'gini', 'm...              0.766234   
115  {'class_weight': None, 'criterion': 'gini', 'm...              0.766234   
116  {'class_weight': None, 'criterion': 'gini', 'm...              0.766234   
117  {'class_weight': None, 'criterion': 'gini', 'm...              0.779221   
118  {'class_weight': None, 'criterion': 'gini', 'm...              0.805195   
119  {'class_weight': None, 'criterion': 'gini', 'm...              0.779221   
120  {'class_weight': None, 'criterion': 'entropy',...              0.779221   
121  {'class_weight': None, 'criterion': 'entropy',...              0.792208   
122  {'class_weight': None, 'criterion': 'entropy',...              0.805195   
123  {'class_weight': None, 'criterion': 'entropy',...              0.779221   
124  {'class_weight': None, 'criterion': 'entropy',...              0.805195   
125  {'class_weight': None, 'criterion': 'entropy',...              0.805195   
126  {'class_weight': None, 'criterion': 'entropy',...              0.805195   
127  {'class_weight': None, 'criterion': 'entropy',...              0.792208   
128  {'class_weight': None, 'criterion': 'entropy',...              0.792208   
129  {'class_weight': None, 'criterion': 'entropy',...              0.792208   
130  {'class_weight': None, 'criterion': 'entropy',...              0.805195   
131  {'class_weight': None, 'criterion': 'entropy',...              0.792208   
